"API key was incorrect."                                                                                               ,"Clave de API incorrecta."
"Just a few more steps to complete the setup"                                                                          ,"Te queda muy poco para completar la configuración"
"Select shipping services"                                                                                             ,"Selecciona los servicios de envío"
"Getting available shipping services from Packlink PRO. Please wait a moment."                                         ,"Buscando los servicios de envío disponibles en Packlink PRO. Por favor, espera un momento."
"Filter services"                                                                                                      ,"Filtrar servicios"
"Type"                                                                                                                 ,"Tipo"
"National"                                                                                                             ,"Nacional"
"International"                                                                                                        ,"Internacional"
"Delivery type"                                                                                                        ,"Servicio"
"Economic"                                                                                                             ,"Económico"
"Express"                                                                                                              ,"Express"
"Parcel origin"                                                                                                        ,"Origen"
"Collection"                                                                                                           ,"Recogida"
"Drop off"                                                                                                             ,"Drop off"
"Parcel destination"                                                                                                   ,"Destino"
"Delivery"                                                                                                             ,"Entrega"
"Pick up"                                                                                                              ,"Pick up"
"Add service title"                                                                                                    ,"Añadir nombre de servicio"
"This title will be visible to your customers"                                                                         ,"Este nombre será visible para tus clientes"
"Service title"                                                                                                        ,"Nombre del servicio"
"Carrier logo"                                                                                                         ,"Logo del transportista"
"Show carrier logo to my customers"                                                                                    ,"Mostrar logo del transportista a mis clientes"
"Select pricing policy"                                                                                                ,"Seleccionar política de precios"
"Choose the pricing policy to show your customers"                                                                     ,"Elige la política de precios para mostrar a tus clientes"
"Packlink prices"                                                                                                      ,"Precios de Packlink"
"% of Packlink prices"                                                                                                 ,"% sobre los precios de Packlink"
"Fixed prices based on total weight"                                                                                   ,"Precios fijos en función del peso total"
"Fixed prices based on total price"                                                                                    ,"Precios fijos en función del precio total"
"Tax"                                                                                                                  ,"Impuestos"
"Save"                                                                                                                 ,"Guardar"
"Packlink percent"                                                                                                     ,"Porcentaje de Packlink"
"Configure"                                                                                                            ,"Configurar"
"All shipping services"                                                                                                ,"Todos los servicios de envío"
"Selected shipping services"                                                                                           ,"Servicios de envío seleccionados"
"SELECT"                                                                                                               ,"SELECCIONAR"
"CARRIER"                                                                                                              ,"TRANSPORTISTA"
"TRANSIT TIME"                                                                                                         ,"TIEMPO DE TRÁNSITO"
"TYPE"                                                                                                                 ,"TIPO"
"ORIGIN"                                                                                                               ,"ORIGEN"
"DESTINATION"                                                                                                          ,"DESTINO"
"Showing"                                                                                                              ,"Mostrando"
"results"                                                                                                              ,"resultados"
"Please set pricing rule"                                                                                              ,"Establece como fijar el precio"
"Increase"                                                                                                             ,"Incrementar"
"Reduce"                                                                                                               ,"Reducir"
"BY"                                                                                                                   ,"POR"
"Please add price for each weight criteria"                                                                            ,"Añade el precio para cada peso"
"Add price"                                                                                                            ,"Añadir precio"
"FROM"                                                                                                                 ,"DESDE"
"TO"                                                                                                                   ,"HASTA"
"PRICE"                                                                                                                ,"PRECIO"
"Please add price for each price criteria"                                                                             ,"Por favor, añade precio para cada criterio"
"Packlink offers you the possibility to update your Magento order status with the shipping info. You can edit anytime.","Con Packlink puedes actualizar el estado de tu pedido de Magento con la información de envío. Puedes editarla en cualquier momento."
"Packlink PRO Shipping Status"                                                                                         ,"Estado del envío de Packlink PRO"
"Magento Order Status"                                                                                                 ,"Estado del pedido de Magento"
"Pending"                                                                                                              ,"Pendiente"
"None"                                                                                                                 ,"Ninguno"
"Processing"                                                                                                           ,"Procesando"
"Ready for shipping"                                                                                                   ,"Listo para enviar"
"In transit"                                                                                                           ,"En tránsito"
"Delivered"                                                                                                            ,"Entregado"
"Debug mode"                                                                                                           ,"Debug mode"
"Download system info file"                                                                                            ,"Descargar el archivo de información del sistema"
"Loading..."                                                                                                           ,"Cargando..."
"system info"                                                                                                          ,"Información del sistema"
"General conditions"                                                                                                   ,"Condiciones generales"
"Developed and managed by Packlink"                                                                                    ,"Desarrollado y gestionado por Packlink"
"Valid action missing."                                                                                                ,"Valid action missing."
"This field is required."                                                                                              ,"Esta campo es obligatorio."
"Field must be valid number."                                                                                          ,"Debe ser un valor numérico."
"Field is required."                                                                                                   ,"Esta campo es obligatorio."
"This field is not valid."                                                                                             ,"Este campo no es válido."
"Postal code is not correct."                                                                                          ,"El código postal no es correcto."
"Field must be valid email."                                                                                           ,"El campo debe ser un correo electrónico válido."
"Value must be valid number."                                                                                          ,"Debe ser un valor numérico."
"Field must be valid phone number."                                                                                    ,"Este campo deber ser un número de teléfono válido."
"This field must be valid phone number."                                                                               ,"Este campo deber ser un número de teléfono válido."
"Failed to select shipping method."                                                                                    ,"Error al seleccionar la selección de servicio de envío."
"Shipping method successfully selected."                                                                               ,"Servicio de envío seleccionado correctamente."
"Failed to deselect shipping method."                                                                                  ,"Error al anular la selección de servicio de envío."
"Shipping method successfully deselected."                                                                             ,"Servicio de envío correctamente deseleccionado."
"Title can have at most 64 characters."                                                                                ,"El nombre puede tener como máximo 64 caracteres."
"Value must be greater than 0."                                                                                        ,"El valor debe ser mayor que 0."
"Field must have 2 decimal places."                                                                                    ,"El campo debe tener 2 decimales."
"Field must be an integer."                                                                                            ,"El campo debe ser un número entero."
"Failed to save shipping method."                                                                                      ,"Error al guardar el servicio de envío."
"Shipping service successfully saved."                                                                                 ,"Servicio de envío guardado."
"Failed to activate shipping method."                                                                                  ,"Error al activar el servicio de envío."
"Error: "                                                                                                              ,"Error: "
"There has been an error creating order draft."                                                                        ,"There has been an error creating order draft."
"Carrier did not provide tracking URL."                                                                                ,"Carrier did not provide tracking URL."
"Unable to create bulk labels file. Error: "                                                                           ,"No se puede crear el archivo de etiquetas masivas. Error: "
"No Packlink shipment labels available."                                                                               ,"No Packlink shipment labels available."
